"Privato/Pubblico";"Regione";"Codice edificio";"DO_Y";"DO_X";"Agibilità";"Provincia";"Codice ISTAT";"ID";"X Gauss-Boaga";"gid";"Y Gauss-Boaga";"Comune";
"privato";"Toscana";"CASO_0035_00485";"44.174944882306";"10.1819247692349";"F";"MASSA-CARRARA";"9450004";"62";"1594510";"62";"4892000";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00478";"44.1750374809332";"10.1816764310656";"F";"MASSA-CARRARA";"9450004";"63";"1594490";"63";"4892010";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0028_00488";"44.1821401979848";"10.1472882553561";"A";"MASSA-CARRARA";"9450004";"64";"1591730";"64";"4892760";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0028_244+";"44.18250150362";"10.1471701515812";"A";"MASSA-CARRARA";"9450004";"65";"1591720";"65";"4892800";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0027_00003";"44.1980510408529";"10.1762545131478";"A";"MASSA-CARRARA";"9450004";"66";"1594020";"66";"4894560";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_01024";"44.201810883295";"10.1783317132532";"A";"MASSA-CARRARA";"9450004";"67";"1594180";"67";"4894980";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0027_261+";"44.1911498922019";"10.190632092911";"A";"MASSA-CARRARA";"9450004";"68";"1595180";"68";"4893810";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0027_97+";"44.1951572188646";"10.1862078599261";"A";"MASSA-CARRARA";"9450004";"69";"1594820";"69";"4894250";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_01089";"44.2015550359911";"10.1769499663304";"A";"MASSA-CARRARA";"9450004";"70";"1594070";"70";"4894950";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0029_00549";"44.18223196895";"10.1560476629854";"B";"MASSA-CARRARA";"9450004";"71";"1592430";"71";"4892780";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0028_00245";"44.1823202228469";"10.1472917460512";"C";"MASSA-CARRARA";"9450004";"72";"1591730";"72";"4892780";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_00450";"44.199502808243";"10.1751570817146";"C";"MASSA-CARRARA";"9450004";"73";"1593930";"73";"4894720";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0027_00422";"44.1911498922019";"10.190632092911";"C";"MASSA-CARRARA";"9450004";"74";"1595180";"74";"4893810";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_00468";"44.1996854042814";"10.1749104187539";"C";"MASSA-CARRARA";"9450004";"75";"1593910";"75";"4894740";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_00528";"44.1989678869315";"10.1746458737207";"E";"MASSA-CARRARA";"9450004";"76";"1593890";"76";"4894660";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_00529";"44.1990553253259";"10.1748978997329";"E";"MASSA-CARRARA";"9450004";"77";"1593910";"77";"4894670";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0027_00221";"44.1922417504896";"10.1895279009298";"E";"MASSA-CARRARA";"9450004";"78";"1595090";"78";"4893930";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0027_00262";"44.1910598813028";"10.1906302810585";"E";"MASSA-CARRARA";"9450004";"79";"1595180";"79";"4893800";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_00532";"44.1989691731715";"10.1745207549012";"E";"MASSA-CARRARA";"9450004";"80";"1593880";"80";"4894660";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_01084";"44.199237920807";"10.174651237798";"E";"MASSA-CARRARA";"9450004";"81";"1593890";"81";"4894690";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_00523";"44.1991414762218";"10.1752750456403";"E";"MASSA-CARRARA";"9450004";"82";"1593940";"82";"4894680";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_472+";"44.1996841175983";"10.1750355390716";"A";"MASSA-CARRARA";"9450004";"83";"1593920";"83";"4894740";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_396+";"44.2002113105851";"10.1762974852718";"A";"MASSA-CARRARA";"9450004";"84";"1594020";"84";"4894800";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_508+";"44.1991491957646";"10.1745243305636";"A";"MASSA-CARRARA";"9450004";"85";"1593880";"85";"4894680";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_406+";"44.2002138866027";"10.1760472425099";"A";"MASSA-CARRARA";"9450004";"86";"1594000";"86";"4894800";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_455+";"44.1996789694959";"10.1755360202591";"A";"MASSA-CARRARA";"9450004";"87";"1593960";"87";"4894740";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_456+";"44.1997664058679";"10.1757880506006";"A";"MASSA-CARRARA";"9450004";"88";"1593980";"88";"4894750";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_00496";"44.1993266457029";"10.1747781454132";"B";"MASSA-CARRARA";"9450004";"89";"1593900";"89";"4894700";"Casola in Lunigiana";
